rownamesbgutotal_V_assets_after,Brasil,Indonesia,NaturalGas,Soybean,Japan,India,Turkey,China,Bitcoin,france,Italy,UK,oil,Canada,Germany,Agentina,corn,Aluminium,Wheat,Gold,Ethereum,Southkorea,Sugar,Mexico,Tehther,Russia,US
Agentina,  2.98,  4.65,  2.59,  2.86,  2.85,  0.14,  1.91,  1.88,  3.62,  2.87,  3.71,  6.16,  6.23,  9.94,  4.34,  5.06,  5.39,  0.50,  0.28,  3.44,  3.63, 13.87,  3.63,  1.37,  2.19,  2.49,  1.43
corn,  1.76,  1.29,  4.01,  6.84,  7.02,  2.98,  8.75,  2.38,  3.69,  0.48,  1.44,  0.41,  5.87,  3.33,  1.70,  2.98,  1.82,  6.05,  0.17,  6.49,  3.70,  9.49,  3.70,  1.80,  7.79,  2.72,  1.33
Aluminium,  1.37,  1.64,  6.78,  8.10,  1.02,  1.26, 21.67,  1.91,  2.43,  0.38,  0.54,  1.18,  2.00,  0.87,  1.60,  0.30,  7.06,  3.27,  0.97,  1.14,  2.42,  6.31,  2.42,  0.51, 18.42,  2.52,  1.93
Wheat,  4.32,  2.32,  6.24,  4.72,  6.29,  3.32,  4.16,  3.35,  3.63,  1.36,  1.91,  3.05,  1.57,  2.09,  2.12,  2.07,  1.03,  2.90, 12.07,  4.77,  3.63,  4.56,  3.60,  1.61,  3.37,  4.90,  5.04
Gold,  1.67,  2.48,  5.45,  4.05, 10.00,  1.49,  3.89,  2.75,  3.67,  1.15,  1.80,  2.00,  6.30,  5.17,  2.77,  2.19,  7.75,  0.97,  2.50,  7.37,  3.67,  4.62,  3.67,  1.38,  2.67,  5.09,  3.46
Ethereum,  1.57,  0.31, 10.47,  2.85,  5.94,  0.36,  1.33,  7.90, 16.27,  1.35,  0.37,  0.12,  4.80,  1.66,  0.47,  1.71,  1.74,  0.64,  0.30,  0.60,  0.00,  0.58, 16.27,  1.88,  3.14, 12.40,  4.97
Southkorea,  3.73,  3.64,  8.47,  8.30,  1.10,  0.26, 10.80,  4.61,  2.00,  0.78,  3.70,  1.19,  1.97,  5.08,  1.87,  8.02,  7.52,  3.11,  1.17,  3.40,  2.00,  0.59,  1.99,  1.72,  8.80,  1.31,  2.86
Sugar,  1.57,  0.31, 10.45,  2.84,  5.92,  0.36,  1.32,  7.89, 16.28,  1.34,  0.37,  0.12,  4.80,  1.66,  0.46,  1.71,  1.74,  0.64,  0.29,  0.60, 16.28,  0.58,  0.00,  1.90,  3.15, 12.41,  4.99
Mexico,  0.54,  1.62,  4.90,  2.30,  2.99,  6.30,  5.19,  2.54,  6.47,  2.46,  1.85,  3.31,  1.07,  0.99,  3.41,  3.49,  2.80,  1.39,  0.79,  5.21,  6.47,  2.95,  6.53, 10.36,  2.45,  5.40,  6.23
Tehther,  0.55,  0.74,  9.60, 11.58,  0.25,  2.21, 13.06,  3.43,  4.46,  0.19,  1.30,  0.26,  1.02,  0.47,  1.06,  1.39,  5.47, 11.26,  0.62,  1.17,  4.45,  8.90,  4.44,  0.37,  2.68,  4.40,  4.66
Russia,  1.39,  0.47,  8.72,  3.32,  7.29,  0.14,  1.01,  6.50, 14.35,  1.95,  0.19,  0.64,  4.79,  2.51,  1.00,  1.53,  0.99,  1.14,  0.83,  1.97, 14.35,  0.28, 14.35,  1.27,  3.98,  2.30,  2.74
US,  0.32,  1.34,  8.15,  4.34,  0.77,  2.32,  2.26,  6.49,  7.22,  2.30,  4.80,  7.69,  0.42,  3.16,  6.22,  0.35,  0.81,  1.92,  0.41,  2.04,  7.22,  3.41,  7.23,  2.67,  6.31,  3.06,  6.79
