rownamesgbu_spill_assets_V,Brasil,Indonesia,NaturalGas,Soybean,Japan,India,Turkey,China,Bitcoin,france,Italy,UK,oil,Canada,Germany,Agentina,corn,Aluminium,Wheat,Gold,Ethereum,Southkorea,Sugar,Mexico,Tehther,Russia,US
UK, 4.41, 2.14, 0.89, 0.47, 2.79, 5.55, 2.75, 0.51, 1.03,10.22, 7.32, 9.32, 3.27, 8.60, 9.66, 0.47, 0.66, 0.65, 0.71, 2.86, 1.03, 3.45, 1.03, 3.76, 3.84, 5.62, 7.00
oil, 5.27, 1.45, 0.83, 0.68, 2.57, 3.68, 1.12, 0.82, 0.75, 6.63, 3.72, 6.84,22.61, 7.91, 6.34, 0.87, 0.98, 0.45, 1.02, 2.65, 0.76, 3.53, 0.76, 4.98, 2.67, 3.72, 6.37
Canada, 8.29, 1.50, 1.16, 0.35, 3.30, 5.37, 1.61, 0.44, 0.73, 8.74, 7.59, 8.02, 2.96, 6.37, 9.56, 0.52, 0.40, 0.41, 0.53, 2.65, 0.73, 3.72, 0.73, 5.02, 4.82, 3.66,10.81
Germany, 5.13, 1.54, 0.72, 0.64, 2.38, 5.35, 2.45, 0.37, 0.67,11.92, 9.51, 9.98, 2.70, 9.79, 6.45, 0.68, 0.78, 0.46, 0.81, 2.50, 0.67, 2.77, 0.67, 3.96, 3.95, 4.77, 8.38
Agentina, 1.30, 0.95, 0.96, 0.27, 1.68, 0.61, 0.49, 0.22, 0.72, 1.68, 1.25, 1.49, 1.30, 1.69, 1.60,72.25, 2.04, 0.57, 1.94, 1.08, 0.71, 0.34, 0.71, 0.73, 0.53, 1.29, 1.61
corn, 0.90, 1.08, 1.15,16.88, 1.00, 0.95, 1.16, 1.13, 7.02, 1.60, 1.57, 1.81, 1.33, 1.28, 1.49, 1.50,13.56,10.98, 7.78, 2.40, 7.17, 1.69, 7.14, 1.68, 2.56, 2.19, 1.00
Aluminium, 0.63, 0.28, 1.74, 1.59, 0.82, 0.38, 0.84, 0.45, 5.65, 0.99, 0.77, 1.05, 1.24, 1.21, 0.79, 0.42, 3.46,56.97, 2.46, 0.85, 5.67, 0.80, 5.66, 0.89, 0.53, 2.17, 1.70
Wheat, 0.88, 1.06, 2.85,11.78, 1.36, 1.17, 1.22, 1.15, 3.95, 1.25, 1.15, 1.77, 1.91, 1.40, 1.44, 2.69,11.63, 3.47,19.17, 1.41, 3.78, 2.59, 3.77, 1.96, 2.90,10.70, 1.62
Gold, 3.12, 1.52, 1.01, 1.12, 3.37, 4.39, 3.62, 0.82, 1.83, 6.21, 4.59, 6.54, 2.07, 5.20, 5.59, 0.55, 1.12, 2.23, 1.20,20.36, 1.78, 3.14, 1.79, 2.90, 2.00, 5.78, 6.16
Ethereum, 0.47, 0.21, 4.53, 2.41, 0.72, 0.92, 1.12, 0.29,30.52, 1.19, 0.80, 1.09, 0.82, 1.25, 1.01, 0.51, 2.35, 3.87, 2.85, 1.46, 0.05, 1.26,30.50, 0.66, 3.90, 3.19, 2.04
Southkorea, 3.95, 2.93, 0.85, 0.75, 5.13, 5.75, 1.07, 2.82, 0.76, 5.61, 4.41, 6.26, 3.65, 7.91, 5.77, 0.41, 1.43, 0.72, 1.48, 2.79, 0.77,18.64, 0.76, 2.87, 2.19, 4.43, 5.89
Sugar, 0.47, 0.21, 4.53, 2.40, 0.72, 0.92, 1.12, 0.29,30.57, 1.18, 0.80, 1.08, 0.82, 1.25, 1.01, 0.51, 2.35, 3.88, 2.84, 1.46,30.53, 1.26, 0.04, 0.65, 3.89, 3.18, 2.03
Mexico, 4.99, 1.03, 1.72, 0.64, 2.69, 3.47, 1.34, 0.54, 0.87, 6.41, 4.53, 5.97, 2.71, 7.64, 6.05, 0.66, 1.04, 0.66, 1.66, 2.51, 0.86, 3.25, 0.86,22.14, 3.37, 4.77, 7.62
Tehther, 5.44, 0.81, 0.57, 1.92, 1.55, 3.12, 1.32, 0.16, 6.26, 5.10, 5.51, 5.20, 1.82, 7.34, 5.48, 0.16, 1.25, 1.30, 1.29, 1.20, 6.25, 1.10, 6.23, 4.38,19.53, 1.46, 4.27
Russia, 2.17, 1.29, 1.79, 0.53, 2.78, 3.46, 3.62, 0.65, 1.69, 5.52, 3.58, 6.89, 2.24, 4.69, 5.60, 0.52, 1.10, 0.96, 3.79, 2.09, 1.65, 3.07, 1.64, 2.46, 1.15,29.76, 5.32
US, 5.36, 1.48, 1.47, 0.42, 3.94, 4.40, 2.63, 0.88, 0.64, 8.04, 7.13, 7.21, 2.55,11.47, 8.64, 0.47, 0.43, 0.62, 0.90, 3.12, 0.63, 3.63, 0.63, 5.23, 3.82, 4.42, 9.83
