rownamesgbu_spill_assets,Brasil,Indonesia,NaturalGas,Soybean,Japan,India,Turkey,China,Bitcoin,france,Italy,UK,oil,Canada,Germany,Agentina,corn,Aluminium,Wheat,Gold,Ethereum,Southkorea,Sugar,Mexico,Tehther,Russia,US
corn, 1.56, 0.97, 0.38,17.31, 0.84, 0.87, 0.64, 1.42, 0.94, 1.10, 1.00, 1.21, 1.92, 1.47, 0.96, 0.80,37.90, 1.65,17.57, 1.46, 0.98, 0.35, 2.64, 1.38, 0.85, 0.60, 1.24
Aluminium, 0.31, 0.39, 0.27, 1.06, 0.73, 1.19, 0.36, 0.84, 2.14, 0.78, 0.66, 1.02, 1.19, 0.91, 0.62, 0.98, 0.70,78.25, 0.72, 1.07, 1.03, 1.58, 0.83, 0.73, 0.34, 0.81, 0.51
Wheat, 0.64, 0.51, 0.52, 8.88, 0.76, 0.46, 0.79, 1.09, 0.76, 1.03, 1.34, 0.76, 1.28, 0.93, 0.97, 1.38,19.71, 1.02,47.93, 1.80, 0.79, 0.53, 2.10, 1.08, 0.80, 0.67, 1.47
Gold, 1.11, 2.16, 1.30, 2.14, 1.00, 1.01, 1.23, 1.03, 1.36, 1.26, 1.46, 0.83, 1.50, 1.60, 1.37, 0.97, 1.94, 1.24, 2.00,62.84, 1.30, 1.73, 1.01, 1.06, 1.15, 1.43, 2.99
Ethereum, 2.99, 0.33, 0.88, 0.67, 0.46, 1.96, 0.86, 1.09,27.38, 3.30, 4.68, 2.22, 0.44, 6.19, 3.25, 0.99, 0.49, 0.85, 0.43, 0.35,26.92, 0.60, 1.05, 2.31, 1.52, 2.89, 4.90
Southkorea, 2.50, 3.54, 0.66, 0.63, 9.72, 5.94, 1.42, 4.68, 0.77, 4.64, 3.08, 4.05, 2.10, 4.26, 4.43, 2.15, 0.72, 0.70, 0.57, 0.81, 0.97,32.26, 0.60, 3.35, 0.21, 2.44, 2.80
Sugar, 1.24, 0.66, 0.81, 2.03, 1.77, 1.46, 1.04, 1.22, 1.14, 1.27, 1.66, 1.49, 2.30, 1.88, 1.17, 2.07, 2.59, 1.07, 2.45, 0.56, 1.28, 1.39,61.98, 1.68, 1.00, 1.02, 1.75
Mexico, 5.49, 0.94, 0.49, 1.15, 1.23, 3.14, 0.93, 0.82, 1.10, 4.14, 3.39, 4.08, 2.17, 5.98, 3.72, 3.12, 0.76, 0.36, 0.31, 0.27, 1.34, 2.47, 0.78,42.29, 0.83, 3.33, 5.38
Tehther, 4.30, 0.49, 0.66, 0.51, 0.82, 3.08, 0.74, 0.70, 2.85, 1.92, 4.24, 2.92, 1.35, 4.76, 1.42, 0.60, 1.39, 1.23, 1.45, 0.60, 2.65, 0.57, 0.38, 2.12,52.04, 0.99, 5.23
Russia, 2.91, 0.85, 0.61, 0.48, 2.07, 2.51, 1.36, 1.31, 1.23, 5.94, 4.39, 6.22, 3.45, 3.86, 5.05, 1.45, 0.23, 0.29, 0.27, 0.42, 1.53, 1.24, 0.37, 3.36, 0.22,45.84, 2.56
US, 6.88, 0.37, 0.38, 0.48, 1.50, 2.21, 1.00, 0.75, 2.29, 7.38, 7.67, 5.77, 2.00,13.90, 6.56, 2.22, 0.43, 0.18, 0.44, 0.97, 2.91, 1.41, 0.55, 5.39, 2.54, 2.61,21.19
