rownamesbgutotal_V_assets_befor,Brasil,Indonesia,NaturalGas,Soybean,Japan,India,Turkey,China,Bitcoin,france,Italy,UK,oil,Canada,Germany,Agentina,corn,Aluminium,Wheat,Gold,Ethereum,Southkorea,Sugar,Mexico,Tehther,Russia,US
Italy,  1.61,  0.34,  1.34,  0.63,  0.23,  0.84,  0.32,  0.54,  0.89, 17.72,  9.73,  1.26,  0.76,  7.46, 14.97,  1.94, 14.62,  0.94,  7.08,  0.65,  0.88,  0.52,  0.87,  1.41,  1.78,  2.37,  8.30
UK,  0.36,  4.22,  2.64,  1.65,  6.28,  2.32,  5.32,  6.76,  2.24,  6.34,  1.86,  2.34,  2.32,  5.53,  6.98,  1.61,  6.89,  6.66, 11.69,  3.71,  2.24,  0.57,  2.24,  0.51,  0.52,  0.22,  5.98
oil,  4.47,  8.93,  3.54,  1.51,  6.96,  2.50,  2.57,  1.71,  1.91, 10.01,  0.98,  2.45, 11.70,  2.95,  7.36,  1.78,  2.20,  1.88,  1.22,  1.47,  1.91,  1.04,  1.92,  1.17,  7.43,  1.46,  6.98
Canada,  0.23,  1.62,  8.16,  8.87,  1.11,  5.39,  0.87,  0.99,  9.53,  3.89,  2.62,  1.18,  0.34,  0.83,  4.33,  0.45,  1.67,  8.48,  3.40,  3.90,  9.53,  0.12,  9.54,  0.08,  1.60,  2.02,  9.24
Germany,  2.76,  1.61,  0.63,  1.39,  3.09,  0.57,  0.41,  1.08,  1.22, 14.31,  8.68,  4.91,  3.00,  8.08,  0.57,  0.55,  9.39,  2.27, 10.05,  0.60,  1.22,  0.60,  1.21,  0.27,  3.13,  4.11, 14.30
Agentina,  0.64,  0.29,  3.49,  2.74,  0.71,  3.89,  0.52,  2.37,  4.07,  8.88,  5.30,  3.39,  3.33,  3.56,  2.75,  9.62,  7.10, 15.21,  3.18,  1.18,  4.06,  2.54,  4.01,  0.78,  4.01,  1.09,  1.29
corn,  0.54,  0.89,  2.25,  1.28,  2.55,  1.75,  1.59,  3.84,  1.71, 13.22,  8.71,  7.13,  1.23,  5.04, 10.33,  1.55,  5.49,  3.27, 11.14,  1.85,  1.71,  0.53,  1.71,  1.81,  1.38,  1.27,  6.26
Aluminium,  0.39,  1.52,  7.45,  8.03,  1.94,  9.38,  0.20,  0.26,  9.84,  0.37,  0.11,  2.81,  0.15, 11.26,  1.21,  2.88,  0.38,  3.37,  5.86,  6.10,  9.83,  0.06,  9.78,  1.29,  0.18,  0.69,  4.67
Wheat,  0.69,  1.43,  1.30,  2.27,  3.76,  1.64,  3.16,  1.80,  2.44,  7.66,  4.03,  9.61,  1.46,  6.91, 10.95,  0.91,  9.34,  7.34,  2.89,  2.03,  2.44,  0.10,  2.42,  0.63,  0.89,  2.35,  9.53
Gold,  0.78,  3.41,  8.89,  5.52,  2.46,  7.03,  0.48,  0.66,  7.54,  1.61,  0.32,  3.38,  2.01,  8.87,  1.37,  1.02,  1.08, 10.63,  2.29, 10.11,  7.53,  0.37,  7.58,  0.45,  0.84,  0.55,  3.21
Ethereum,  0.14,  0.70, 12.01, 13.76,  1.14,  5.84,  1.84,  5.44, 14.86,  0.20,  0.31,  0.11,  0.19,  7.46,  0.20,  0.64,  0.52,  6.87,  0.59,  3.22,  0.00,  1.16, 14.86,  0.43,  2.13,  1.36,  3.99
Southkorea,  5.41,  2.36,  3.07,  6.17,  5.49,  1.34,  3.20,  7.75,  4.77,  3.54,  2.59,  0.47,  2.45,  2.11,  3.71,  2.38,  2.03,  2.16,  1.36,  1.45,  4.77,  5.65,  4.77,  0.82,  8.56,  6.65,  4.98
Sugar,  0.14,  0.70, 12.03, 13.78,  1.14,  5.84,  1.86,  5.45, 14.87,  0.20,  0.30,  0.11,  0.19,  7.47,  0.19,  0.64,  0.52,  6.84,  0.58,  3.26, 14.87,  1.15,  0.00,  0.42,  2.14,  1.35,  3.96
Mexico,  3.56,  1.66,  2.87,  2.05,  4.48,  4.19,  3.51,  0.93,  3.03,  5.31,  3.47,  1.82,  2.05,  2.66,  2.47,  3.60,  5.64,  7.22,  3.82,  1.33,  3.02,  2.07,  2.97, 15.52,  3.51,  5.17,  2.07
Tehther,  1.29,  4.42,  4.26,  9.26,  3.83,  1.47,  2.82,  5.97,  6.34,  5.50,  1.60,  0.34,  4.11,  3.28,  3.50,  1.35,  1.78,  1.47,  0.71,  0.92,  6.36,  3.92,  6.38,  1.72,  1.05,  7.31,  9.06
Russia,  0.88,  1.06,  2.72,  9.52,  1.42,  2.16,  1.83,  6.08,  6.95,  3.57,  2.16,  1.07,  1.01,  5.03,  4.87,  1.10,  2.43,  2.61,  2.02,  0.88,  6.97,  3.92,  6.95,  0.66,  9.59,  5.44,  7.11
US,  0.96,  2.89,  4.47,  6.18,  2.86,  1.64,  0.31,  0.53,  6.03,  7.47,  3.38,  2.66,  2.00, 10.57,  9.85,  0.17,  3.51,  4.15,  5.97,  1.30,  6.03,  1.11,  6.00,  0.08,  5.57,  3.69,  0.62
