markets,Brasil,Indonesia,NaturalGas,Soybean,Japan,India,Turkey,China,Bitcoin,france,Italy,UK,oil,Canada,Germany,Agentina,corn,Aluminium,Wheat,Gold,Ethereum,Southkorea,Sugar,Mexico,Tehther,Russia,US
Germany, 2.96, 0.44, 0.16, 0.02, 1.88, 1.41, 0.19, 0.17, 5.66,14.80,10.40, 8.56, 6.08, 5.89,19.38, 0.99, 0.06, 0.00, 0.22, 2.17, 5.80, 0.75, 0.17, 3.81, 1.31, 0.66, 6.09
Agentina, 3.25, 0.31, 0.00, 0.02, 0.65, 0.66, 0.05, 0.34, 7.70, 1.49, 3.75, 2.51, 4.30, 4.01, 1.92,53.80, 0.19, 0.03, 0.03, 0.54, 7.00, 0.60, 0.06, 2.09, 3.10, 0.11, 1.48
corn, 0.01, 0.69, 0.08,15.95, 0.10, 0.06, 0.10, 0.04, 0.54, 0.16, 0.34, 0.53, 2.11, 0.29, 0.14, 0.23,55.17, 0.05,18.50, 0.56, 0.40, 0.53, 0.54, 0.84, 0.07, 1.78, 0.19
Aluminium, 0.02, 0.11, 0.00, 0.31, 0.00, 0.20, 0.00, 0.30, 0.00, 0.02, 0.00, 0.03, 0.61, 0.01, 0.00, 0.08, 0.11,97.49, 0.34, 0.10, 0.01, 0.09, 0.06, 0.01, 0.09, 0.00, 0.00
Wheat, 0.24, 0.61, 0.02, 8.33, 0.01, 0.05, 0.12, 0.03, 0.88, 0.22, 0.75, 0.46, 0.57, 0.46, 0.44, 0.03,15.58, 0.14,67.61, 0.33, 0.77, 0.81, 0.41, 0.27, 0.00, 0.86, 0.00
Gold, 1.28, 0.73, 0.05, 0.48, 1.90, 1.10, 0.38, 0.22, 3.87, 8.64, 3.63, 5.88,11.98, 2.34, 4.26, 0.55, 0.45, 0.04, 0.32,38.16, 3.02, 1.89, 0.26, 4.39, 0.71, 1.31, 2.19
Ethereum, 0.84, 0.17, 0.02, 0.01, 0.23, 0.35, 0.02, 0.00,34.10, 0.67, 4.57, 1.31, 0.09, 3.10, 0.89, 0.55, 0.03, 0.00, 0.06, 0.23,43.64, 0.28, 0.22, 2.42, 5.73, 0.09, 0.39
Southkorea, 1.72, 3.15, 5.11, 0.23, 9.20, 3.52, 0.06, 2.68, 3.13, 1.15, 2.15, 2.42, 3.17, 6.12, 1.53, 0.63, 0.45, 0.04, 0.81, 1.95, 3.79,39.46, 0.26, 2.28, 0.84, 0.59, 3.56
Sugar, 2.58, 0.60, 0.29, 0.45, 0.15, 0.15, 0.00, 0.32, 3.37, 0.35, 1.16, 0.58, 2.79, 1.01, 0.56, 0.09, 0.71, 0.04, 0.65, 0.43, 4.65, 0.40,76.65, 0.84, 0.29, 0.10, 0.78
Mexico, 1.78, 0.26, 0.17, 0.83, 1.20, 0.66, 0.77, 0.08,17.65, 3.73, 6.69, 4.61, 4.03, 6.64, 3.81, 1.08, 0.35, 0.00, 0.13, 2.23,15.83, 1.12, 0.26,19.42, 2.94, 0.66, 3.06
Tehther, 0.86, 0.50, 0.00, 0.10, 0.45, 1.73, 0.03, 0.05,30.87, 0.73, 5.61, 1.26, 0.00, 3.49, 1.11, 1.35, 0.03, 0.02, 0.00, 0.30,31.77, 0.35, 0.08, 2.49,16.46, 0.01, 0.35
Russia, 0.69, 1.63, 0.20, 4.22, 1.21, 0.84, 0.44, 0.56, 1.35, 1.47, 2.01, 3.70, 5.66, 1.47, 1.94, 0.17, 2.16, 0.00, 1.24, 1.95, 1.78, 0.85, 0.09, 1.92, 0.02,59.06, 3.39
US, 2.45, 1.07, 0.47, 0.24, 6.28, 1.74, 0.36, 0.65, 2.80, 5.86, 4.20, 6.17, 6.09,13.96, 7.94, 0.99, 0.11, 0.00, 0.00, 1.45, 3.30, 2.28, 0.32, 3.98, 0.53, 1.51,25.26
