rownamesbgutotal_R_assets_befor,Brasil,Indonesia,NaturalGas,Soybean,Japan,India,Turkey,China,Bitcoin,france,Italy,UK,oil,Canada,Germany,Agentina,corn,Aluminium,Wheat,Gold,Ethereum,Southkorea,Sugar,Mexico,Tehther,Russia,US
corn, 0.82, 0.48, 3.56, 8.86, 0.80, 2.44, 0.42, 2.52, 3.37, 0.47, 0.57, 2.48, 4.94, 3.17, 1.19, 2.65,11.44, 3.13,12.96, 0.35, 3.84, 0.72, 5.13,13.31, 1.55, 2.07, 6.78
Aluminium, 1.61, 0.39, 5.83, 3.13, 0.63, 0.49, 1.85, 3.12, 1.40, 1.30, 1.13, 1.50, 2.43,14.34, 0.97,15.16, 1.21,11.18, 3.45, 1.06, 2.69, 0.85, 2.03, 3.73, 8.08, 2.14, 8.31
Wheat, 0.71, 0.48, 2.76, 5.78, 0.88, 0.60, 1.98, 5.14, 2.53, 0.73, 0.66, 2.45, 4.04, 3.68, 0.68, 0.97,19.83, 2.69,13.54, 3.29, 2.74, 0.58, 5.17,13.34, 1.80, 0.81, 2.13
Gold, 2.21, 2.75, 5.49, 1.35, 3.62, 1.22, 4.86, 4.92, 2.58, 1.22, 0.95, 0.93, 6.03, 2.49, 1.46, 4.26, 1.48, 2.28, 5.11,12.39, 6.49, 2.87, 3.54, 1.93, 4.91, 9.50, 3.15
Ethereum, 0.19, 0.07, 0.63, 2.20, 0.22, 0.25, 2.18, 0.64,36.98, 4.04, 8.67, 3.14, 0.23,10.18, 2.60, 0.23, 2.36, 1.68, 0.14, 1.40, 2.45, 1.73, 0.65, 0.14, 0.98,10.20, 5.81
Southkorea, 1.02, 1.30, 4.64, 4.16,16.98, 6.87, 1.25, 3.75, 0.91, 1.48, 3.66, 2.64, 4.03, 5.78, 7.15, 3.58, 0.81, 0.80, 0.77, 0.75, 1.77,10.42, 1.79, 2.54, 1.25, 3.71, 6.17
Sugar, 2.43, 0.90, 5.93, 0.80, 1.21, 0.29, 0.29, 2.18, 2.73, 1.47, 0.76, 0.80, 7.16, 2.18, 2.20, 4.37, 6.49, 3.58, 4.54, 2.02, 1.67, 0.76,21.60,12.92, 0.85, 8.33, 1.56
Mexico, 3.67, 5.75, 2.31, 5.25, 0.34, 5.05, 0.28, 0.64, 2.02, 0.82, 3.60, 3.04, 5.19, 2.01, 4.93, 5.79,10.27, 2.15, 6.41, 1.86, 3.80, 1.95, 7.17, 5.38, 3.15, 2.35, 4.82
Tehther, 1.13, 1.89,11.62, 3.20, 4.35, 0.92, 2.76, 3.62, 6.52, 1.77, 2.79, 4.11, 1.52, 4.10, 2.36, 3.73, 2.44, 8.20, 1.74, 4.18, 5.41, 1.46, 1.37, 5.43, 9.54, 2.57, 1.27
Russia, 1.67, 1.73,10.15, 2.27, 1.99, 0.83, 0.44, 7.29, 5.04, 0.97, 3.35, 5.13, 2.47, 2.03, 1.79, 2.38, 2.24, 1.09, 0.89, 6.41, 9.09, 3.42, 5.24, 1.85, 0.44,17.33, 2.47
US, 1.04, 1.15, 4.59, 2.87, 3.05, 1.90, 0.37, 0.24, 0.94, 8.44, 7.81, 3.95, 4.68,20.14, 9.57, 4.44, 3.38, 4.87, 1.00, 0.46, 3.00, 4.50, 0.55, 2.68, 0.86, 0.72, 2.80
