market,Brasil,Indonesia,NaturalGas,Soybean,Japan,India,Turkey,China,Bitcoin,france,Italy,UK,oil,Canada,Germany,Agentina,corn,Aluminium,Wheat,Gold,Ethereum,Southkorea,Sugar,Mexico,Tehther,Russia,US
Germany, 3.62, 0.97, 2.53, 1.06, 1.63, 2.20, 2.16, 1.10, 1.40,12.57, 8.85, 6.99, 6.50, 4.69,15.77, 1.37, 1.65, 2.02, 1.67, 2.42, 1.76, 1.36, 0.90, 3.01, 1.90, 4.41, 5.50
Agentina, 3.03, 1.21, 2.46, 2.08, 1.41, 1.74, 2.46, 2.00, 2.04, 3.22, 3.21, 3.46, 6.58, 3.88, 3.29,28.04, 3.03, 1.99, 3.47, 2.89, 2.25, 1.53, 1.12, 2.70, 2.60, 4.62, 3.70
corn, 2.00, 1.35, 2.95, 6.69, 1.17, 1.70, 2.40, 1.41, 2.54, 2.05, 2.08, 2.54, 8.00, 2.89, 1.83, 1.57,21.80, 3.27, 8.17, 3.29, 2.54, 2.03, 1.23, 2.54, 3.53, 5.27, 3.13
Aluminium, 1.61, 1.16, 3.13, 2.28, 1.13, 2.41, 2.18, 1.60, 2.49, 2.35, 1.68, 2.93, 8.34, 2.96, 1.98, 1.23, 3.57,33.08, 3.52, 2.33, 1.87, 1.65, 1.35, 1.89, 2.25, 5.77, 3.26
Wheat, 2.29, 1.25, 2.61, 6.24, 1.23, 1.53, 2.60, 1.45, 2.69, 2.29, 2.16, 2.84, 6.59, 2.98, 2.06, 1.98, 9.08, 2.50,24.52, 2.67, 2.50, 1.53, 1.20, 2.56, 2.53, 5.09, 3.05
Gold, 3.10, 1.22, 3.33, 2.84, 1.98, 2.06, 2.73, 1.37, 2.56, 3.76, 2.52, 4.90, 7.96, 3.88, 3.22, 1.49, 3.21, 3.42, 2.49,21.58, 2.58, 2.47, 1.02, 3.09, 2.60, 4.67, 3.94
Ethereum, 3.07, 1.78, 1.84, 1.63, 1.24, 1.07, 2.29, 1.03,15.65, 1.93, 2.25, 2.92, 3.77, 3.22, 1.93, 1.49, 2.42, 2.07, 2.54, 2.44,23.36, 1.10, 1.61, 2.83, 6.81, 4.63, 3.07
Southkorea, 3.68, 1.61, 3.16, 1.80, 3.45, 2.37, 2.38, 2.03, 2.67, 3.12, 3.27, 4.26, 8.29, 5.68, 3.13, 2.01, 2.83, 2.75, 2.18, 3.27, 2.58,15.30, 1.12, 3.20, 3.27, 5.65, 4.94
Sugar, 3.96, 2.11, 2.23, 2.41, 1.19, 1.31, 2.39, 1.38, 3.25, 2.12, 2.52, 2.17, 4.33, 3.10, 1.83, 1.50, 3.17, 2.09, 3.84, 2.21, 3.44, 1.27,34.46, 2.76, 2.38, 3.73, 2.85
Mexico, 3.47, 1.09, 3.17, 2.84, 1.36, 1.65, 2.80, 1.12, 2.14, 3.32, 2.99, 4.50, 8.05, 5.16, 3.22, 1.45, 2.45, 2.53, 2.00, 2.61, 2.50, 1.93, 1.09,24.96, 1.78, 4.52, 5.28
Tehther, 2.71, 1.98, 1.59, 2.45, 1.86, 3.02, 3.12, 1.45, 7.59, 2.52, 4.07, 2.27, 2.96, 3.24, 2.82, 1.78, 3.20, 2.44, 1.94, 2.44, 7.74, 2.16, 1.91, 1.70,22.63, 5.64, 2.77
Russia, 3.90, 1.31, 3.66, 2.07, 1.23, 2.25, 2.94, 1.15, 2.63, 3.14, 3.19, 3.92,12.28, 5.55, 3.13, 1.85, 3.53, 4.34, 3.54, 3.01, 2.61, 1.91, 1.17, 2.98, 2.91,14.61, 5.19
US, 4.16, 1.09, 3.01, 1.37, 2.27, 2.14, 2.63, 1.58, 2.00, 4.25, 3.41, 4.89, 8.94,11.09, 4.97, 1.47, 2.18, 2.70, 1.71, 2.53, 2.10, 1.76, 0.98, 3.81, 2.14, 5.34,15.47
