market,Brasil,Indonesia,NaturalGas,Soybean,Japan,India,Turkey,China,Bitcoin,france,Italy,UK,oil,Canada,Germany,Agentina,corn,Aluminium,Wheat,Gold,Ethereum,Southkorea,Sugar,Mexico,Tehther,Russia,US
UK, 6.70, 2.39, 1.99, 1.01, 1.60, 2.05, 2.97, 0.76, 6.41, 6.69, 7.42, 8.46, 2.99, 5.74, 7.16, 1.90, 1.28, 2.23, 2.16, 3.30, 6.13, 1.64, 1.49, 5.07, 3.09, 2.31, 5.07
oil, 3.77, 6.05, 3.37, 0.88, 1.27, 1.15, 3.81, 0.49, 3.44, 3.34, 4.07, 2.74,27.90, 2.91, 3.76, 1.95, 3.03, 3.15, 2.06, 1.92, 3.33, 0.48, 3.38, 3.01, 2.44, 3.41, 2.91
Canada, 8.22, 2.94, 1.94, 1.25, 1.67, 1.74, 3.38, 1.01, 5.85, 5.02, 6.65, 6.30, 3.12, 8.38, 5.31, 2.52, 1.09, 3.31, 2.79, 3.05, 5.48, 1.53, 1.97, 5.50, 2.86, 1.16, 5.97
Germany, 7.10, 2.22, 1.66, 0.51, 0.88, 2.05, 4.51, 0.93, 6.42, 7.22, 8.31, 6.58, 3.48, 4.97, 7.73, 2.84, 1.20, 1.41, 1.83, 2.76, 6.52, 0.82, 2.15, 6.00, 4.07, 1.40, 4.44
Agentina, 5.69, 3.14, 2.04, 1.37, 2.01, 2.00, 3.95, 1.34, 6.06, 5.48, 6.44, 5.43, 2.02, 4.91, 5.28, 7.34, 1.48, 1.62, 1.84, 3.36, 6.16, 2.30, 1.75, 5.66, 3.57, 3.22, 4.54
corn, 2.40, 1.80, 2.01,10.51, 0.72, 3.03, 2.02, 1.66, 3.19, 2.96, 3.04, 3.07, 2.73, 1.96, 2.81, 1.76,23.31, 0.82, 6.36, 1.82, 3.10, 2.25, 4.49, 2.79, 2.68, 4.46, 2.27
Aluminium, 5.26, 3.71, 1.93, 2.83, 4.68, 2.26, 1.95, 1.33, 4.83, 3.44, 4.52, 4.61, 2.27, 6.83, 3.93, 2.62, 1.46,15.00, 3.26, 2.04, 4.19, 3.07, 2.37, 3.02, 2.08, 1.95, 4.54
Wheat, 3.24, 2.12, 1.99, 8.57, 4.22, 1.53, 1.94, 1.71, 3.68, 2.66, 3.14, 4.05, 1.52, 3.17, 2.90, 1.72, 5.71, 3.01,17.38, 1.75, 3.14, 6.18, 4.70, 2.42, 2.27, 3.13, 2.15
Gold, 5.44, 1.90, 1.64, 0.95, 1.55, 1.21, 5.40, 1.09, 4.38, 7.67, 5.83, 5.89, 1.84, 4.59, 6.43, 3.47, 1.39, 1.50, 1.73,15.20, 4.43, 1.25, 1.40, 4.83, 3.69, 1.31, 3.96
Ethereum, 7.15, 2.10, 1.50, 0.71, 0.77, 2.38, 2.95, 0.86, 8.69, 6.13, 8.09, 6.29, 2.81, 5.41, 6.30, 2.64, 1.33, 1.34, 1.31, 2.55, 9.48, 0.89, 1.54, 6.48, 4.04, 1.46, 4.79
Southkorea, 5.57, 2.91, 2.39, 2.57, 3.04, 1.80, 2.88, 1.61, 5.14, 4.68, 5.32, 5.34, 2.44, 5.30, 4.64, 4.71, 1.80, 2.29, 3.66, 3.33, 4.91, 6.00, 2.09, 4.68, 3.01, 3.68, 4.22
Sugar, 1.40, 2.59, 2.40, 3.01, 2.68, 1.44, 2.89, 1.22, 2.70, 2.85, 2.55, 1.50, 2.02, 1.36, 2.15, 1.13, 3.61, 2.23, 4.13, 0.57, 2.84, 2.76,37.71, 3.67, 2.66, 3.01, 2.92
Mexico, 6.58, 2.79, 1.56, 1.33, 1.49, 1.99, 2.23, 0.87, 6.75, 6.08, 7.10, 5.90, 2.09, 5.41, 5.30, 2.83, 1.46, 1.23, 2.18, 3.47, 6.95, 1.31, 2.45, 9.20, 3.67, 2.03, 5.72
Tehther, 7.27, 2.20, 1.60, 0.72, 0.83, 2.25, 2.63, 0.91, 8.06, 6.34, 8.12, 6.65, 2.81, 5.84, 6.33, 2.57, 1.17, 1.68, 1.42, 2.79, 7.97, 0.91, 1.51, 6.69, 4.11, 1.34, 5.26
Russia, 6.12, 3.33, 2.03, 1.28, 1.18, 2.13, 3.52, 1.03, 5.69, 5.50, 6.13, 6.37, 2.95, 5.65, 5.50, 3.12, 2.19, 1.70, 2.32, 3.48, 5.53, 2.19, 1.93, 5.09, 2.70, 6.27, 5.05
US, 7.77, 2.54, 2.17, 1.19, 1.40, 1.79, 4.19, 0.98, 5.07, 5.22, 6.62, 6.10, 3.99, 7.25, 5.47, 2.15, 1.40, 2.26, 3.20, 2.91, 4.76, 1.01, 3.34, 5.92, 2.88, 1.14, 7.27
